TOWNSHIP_RANGE,YEAR,GSE_GWE
T01S R12E,2018,72.06333333333333
T01S R12E,2019,89.525
T01S R12E,2020,88.125
T01S R12E,2021,161.75666666666666
T02N R01E,2014,62.63277777777777
T02N R01E,2015,33.665
T02N R01E,2016,34.04
T02N R01E,2017,32.5
T02N R01E,2018,42.32142857142857
T02N R01E,2019,53.94916666666666
T02N R01E,2020,56.4875
T02N R01E,2021,54.423
T02N R02E,2014,51.687200000000004
T02N R02E,2015,56.43411764705883
T02N R02E,2016,42.94045454545454
T02N R02E,2017,42.99933333333333
T02N R02E,2018,36.02166666666667
T02N R02E,2019,48.778571428571425
T02N R02E,2020,44.85333333333333
T02N R02E,2021,36.46
T02N R03E,2014,35.48039215686274
T02N R03E,2015,24.883095238095237
T02N R03E,2016,30.651304347826088
T02N R03E,2017,30.50245614035088
T02N R03E,2018,26.181621621621623
T02N R03E,2019,22.96535714285714
T02N R03E,2020,29.926666666666662
T02N R03E,2021,22.99675
T02N R04E,2014,4.508
T02N R04E,2015,13.530000000000001
T02N R04E,2016,8.055
T02N R04E,2017,7.84111111111111
T02N R04E,2018,11.092
T02N R04E,2019,6.652857142857143
T02N R04E,2020,11.0325
T02N R04E,2021,7.20875
T02N R05E,2014,17.08304347826087
T02N R05E,2015,19.967894736842105
T02N R05E,2016,20.71
T02N R05E,2017,17.325238095238095
T02N R05E,2018,18.017222222222223
T02N R05E,2019,17.318571428571428
T02N R05E,2020,16.605
T02N R05E,2021,20.57090909090909
T02N R06E,2014,38.20171428571428
T02N R06E,2015,38.20285714285715
T02N R06E,2016,39.54588235294118
T02N R06E,2017,34.92727272727272
T02N R06E,2018,31.074814814814815
T02N R06E,2019,39.22102564102564
T02N R06E,2020,43.301875
T02N R06E,2021,49.48190476190476
T02N R07E,2014,91.53150000000001
T02N R07E,2015,99.89692307692309
T02N R07E,2016,105.844375
T02N R07E,2017,104.76933333333334
T02N R07E,2018,100.96266666666666
T02N R07E,2019,84.19
T02N R07E,2020,81.72500000000001
T02N R07E,2021,105.75692307692307
T02N R08E,2014,128.95714285714286
T02N R08E,2015,132.44615384615383
T02N R08E,2016,141.12714285714284
T02N R08E,2017,136.77692307692308
T02N R08E,2018,137.9090909090909
T02N R08E,2019,138.34142857142857
T02N R08E,2020,141.0111111111111
T02N R08E,2021,144.8375
T02N R09E,2014,129.69
T02N R09E,2015,132.49142857142857
T02N R09E,2016,141.53636363636363
T02N R09E,2017,170.54142857142855
T02N R09E,2018,182.99875
T02N R09E,2019,174.09333333333333
T02N R09E,2020,189.725
T02N R09E,2021,181.13625
T02N R10E,2014,118.94200000000001
T02N R10E,2015,122.52250000000001
T02N R10E,2016,132.874375
T02N R10E,2017,146.16333333333333
T02N R10E,2018,163.6825
T02N R10E,2019,208.54666666666665
T02N R10E,2020,211.51666666666668
T02N R10E,2021,182.2475
T02N R11E,2014,75.2
T02N R11E,2015,81.8
T02N R11E,2016,127.78299999999999
T02N R11E,2017,85.0
T02N R11E,2018,106.0
T02N R11E,2019,260.68
T02N R11E,2020,92.2
T02N R11E,2021,95.1
T02S R03E,2014,9.428
T02S R03E,2015,12.46
T02S R03E,2016,10.926666666666668
T02S R03E,2017,6.835
T02S R03E,2018,20.96
T02S R03E,2019,11.835
T02S R03E,2020,7.66
T02S R03E,2021,15.505
T02S R04E,2014,50.24033333333333
T02S R04E,2015,84.97415384615384
T02S R04E,2016,73.23493333333334
T02S R04E,2017,59.52277777777778
T02S R04E,2018,63.16823529411764
T02S R04E,2019,75.6076923076923
T02S R04E,2020,78.112
T02S R04E,2021,80.65307692307692
T02S R05E,2014,47.1411304347826
T02S R05E,2015,79.05221739130435
T02S R05E,2016,80.92322727272727
T02S R05E,2017,72.93260869565218
T02S R05E,2018,72.27
T02S R05E,2019,65.858
T02S R05E,2020,67.18666666666667
T02S R05E,2021,81.48285714285714
T02S R06E,2014,18.39961111111111
T02S R06E,2015,28.102866666666667
T02S R06E,2016,27.595533333333332
T02S R06E,2017,26.583846153846157
T02S R06E,2018,30.066666666666666
T02S R06E,2019,29.335555555555555
T02S R06E,2020,24.395
T02S R06E,2021,42.222142857142856
T02S R07E,2014,22.26666666666667
T02S R07E,2015,26.375
T02S R07E,2016,27.5
T02S R07E,2017,25.468000000000004
T02S R07E,2018,26.11357894736842
T02S R07E,2019,23.836416666666665
T02S R07E,2020,27.79505882352941
T02S R07E,2021,30.186666666666667
T02S R08E,2014,39.492
T02S R08E,2015,39.300000000000004
T02S R08E,2016,41.672
T02S R08E,2017,39.479166666666664
T02S R08E,2018,38.481818181818184
T02S R08E,2019,42.193548387096776
T02S R08E,2020,41.858333333333334
T02S R08E,2021,47.39876
T02S R09E,2014,61.15411764705882
T02S R09E,2015,60.78388888888888
T02S R09E,2016,67.28825
T02S R09E,2017,64.801
T02S R09E,2018,65.869
T02S R09E,2019,70.36137931034483
T02S R09E,2020,70.18521739130435
T02S R09E,2021,73.11943243243243
T02S R10E,2014,95.9060606060606
T02S R10E,2015,94.34304347826087
T02S R10E,2016,94.58259259259259
T02S R10E,2017,92.8325
T02S R10E,2018,98.75892857142857
T02S R10E,2019,94.91071428571429
T02S R10E,2020,95.02090909090909
T02S R10E,2021,98.18111111111111
T02S R11E,2014,123.98529411764706
T02S R11E,2015,118.285
T02S R11E,2016,116.17090909090908
T02S R11E,2017,109.13583333333334
T02S R11E,2018,118.31583333333333
T02S R11E,2019,119.907
T02S R11E,2020,124.33333333333333
T02S R11E,2021,136.0376923076923
T02S R12E,2014,69.2625
T02S R12E,2015,74.95
T02S R12E,2016,80.44333333333333
T02S R12E,2017,67.9
T02S R12E,2018,72.06333333333333
T02S R12E,2019,92.87333333333333
T02S R12E,2020,93.21666666666665
T02S R12E,2021,146.38285714285715
T02S R13E,2014,121.355
T02S R13E,2015,94.475
